"Sys_PK","Sys_TimeStamp","Sys_GUID","Sys_DTCreated","Sys_User","Sys_LastUser","Sys_Exported","Sys_DTExported","Sys_Info","CodCuenta","Codigo","Descripcion","eMail","Fax","Telefonos","WebSite","Domicilio1","sys_recver","sys_deleted","sys_lock","uf_movremoto","uf_FormaProduccion","uf_fechainhabilitacion","uf_inhabilitado"
"1","2017-05-13 12:22:24","374657ABA9D64F899E3E15F340E3C183","2008-01-28 01:12:42",\N,\N,"0","2008-01-28 01:12:42",\N,\N,"0001","Almacén predeterminado",\N,\N,\N,\N,\N,"0",\N,\N,\N,"1","2017-05-13 12:23:45","0"
"2","2017-05-13 12:22:24","B0A1D06E4E5411E3BA6975DAE5EEF70A","2013-11-15 06:20:00",\N,\N,"0","2013-11-15 06:20:00",\N,\N,"0002","Requisiciones en tránsito",\N,\N,\N,\N,\N,"0",\N,\N,\N,"1","2017-05-13 12:23:45","0"
